"Brain.ID","Ammon's horn_RG_Thionine","Anterior group of the dorsal thalamus_RG_Thionine","Basic cell groups and regions_RG_Thionine","Basolateral amygdalar nucleus_RG_Thionine","Basomedial amygdalar nucleus_RG_Thionine","Brain stem_RG_Thionine","Caudoputamen_RG_Thionine","Cerebellar cortex_RG_Thionine","Cerebellar nuclei_RG_Thionine","Cerebellum_RG_Thionine","Cerebral cortex_RG_Thionine","Cerebral nuclei_RG_Thionine","Cerebrum_RG_Thionine","Claustrum_RG_Thionine","Cortex_RG_Thionine","Cortical plate_RG_Thionine","Cortical subplate_RG_Thionine","Dentate gyrus_RG_Thionine","Dentate gyrus, granule cell layer_RG_Thionine","Dentate gyrus, molecular layer_RG_Thionine","Dentate gyrus, polymorph layer_RG_Thionine","Endopiriform nucleus_RG_Thionine","Entorhinal area_RG_Thionine","Epithalamus_RG_Thionine","Fasciola cinerea_RG_Thionine","fiber tracts_RG_Thionine","Fundus of striatum_RG_Thionine","Geniculate group, dorsal thalamus_RG_Thionine","Geniculate group, ventral thalamus_RG_Thionine","Hindbrain_RG_Thionine","Hippo_RG_Thionine","Hippocampal formation_RG_Thionine","Hippocampal region_RG_Thionine","Hypothalamus_RG_Thionine","Induseum griseum_RG_Thionine","Interbrain_RG_Thionine","Intralaminar nuclei of the dorsal thalamus_RG_Thionine","Isocortex_RG_Thionine","Lateral amygdalar nucleus_RG_Thionine","Lateral group of the dorsal thalamus_RG_Thionine","Lateral septal complex_RG_Thionine","Medial group of the dorsal thalamus_RG_Thionine","Medulla_RG_Thionine","Medulla, behavioral state related_RG_Thionine","Medulla, motor related_RG_Thionine","Medulla, sensory related_RG_Thionine","Mid_Hind_Medulla_RG_Thionine","Midbrain_RG_Thionine","Midbrain, behavioral state related_RG_Thionine","Midbrain, motor related_RG_Thionine","Midbrain, sensory related_RG_Thionine","Midline group of the dorsal thalamus_RG_Thionine","Nucleus accumbens_RG_Thionine","Olfactory areas_RG_Thionine","Olfactory tubercle_RG_Thionine","Pallidum_RG_Thionine","Parasubiculum_RG_Thionine","Peripeduncular nucleus_RG_Thionine","Pons_RG_Thionine","Pons, behavioral state related_RG_Thionine","Pons, motor related_RG_Thionine","Pons, sensory related_RG_Thionine","Posterior amygdalar nucleus_RG_Thionine","Postsubiculum_RG_Thionine","Presubiculum_RG_Thionine","Reticular nucleus of the thalamus_RG_Thionine","Retrohippocampal region_RG_Thionine","root_RG_Thionine","Striatum_RG_Thionine","Striatum-like amygdalar nuclei_RG_Thionine","Striatum dorsal region_RG_Thionine","Striatum ventral region_RG_Thionine","Striatum_Pallidum_RG_Thionine","Subiculum_RG_Thionine","Subparafascicular area_RG_Thionine","Subparafascicular nucleus_RG_Thionine","Thalamus_RG_Thionine","Thalamus, polymodal association cortex related_RG_Thionine","Thalamus, sensory-motor cortex related_RG_Thionine","Ventral group of the dorsal thalamus_RG_Thionine","ventricular systems_RG_Thionine","Ammon's horn_NL_Thionine","Anterior group of the dorsal thalamus_NL_Thionine","Basic cell groups and regions_NL_Thionine","Basolateral amygdalar nucleus_NL_Thionine","Basomedial amygdalar nucleus_NL_Thionine","Brain stem_NL_Thionine","Caudoputamen_NL_Thionine","Cerebellar cortex_NL_Thionine","Cerebellar nuclei_NL_Thionine","Cerebellum_NL_Thionine","Cerebral cortex_NL_Thionine","Cerebral nuclei_NL_Thionine","Cerebrum_NL_Thionine","Claustrum_NL_Thionine","Cortex_NL_Thionine","Cortical plate_NL_Thionine","Cortical subplate_NL_Thionine","Dentate gyrus_NL_Thionine","Dentate gyrus, granule cell layer_NL_Thionine","Dentate gyrus, molecular layer_NL_Thionine","Dentate gyrus, polymorph layer_NL_Thionine","Endopiriform nucleus_NL_Thionine","Entorhinal area_NL_Thionine","Epithalamus_NL_Thionine","Fasciola cinerea_NL_Thionine","fiber tracts_NL_Thionine","Fundus of striatum_NL_Thionine","Geniculate group, dorsal thalamus_NL_Thionine","Geniculate group, ventral thalamus_NL_Thionine","Hindbrain_NL_Thionine","Hippo_NL_Thionine","Hippocampal formation_NL_Thionine","Hippocampal region_NL_Thionine","Hypothalamus_NL_Thionine","Induseum griseum_NL_Thionine","Interbrain_NL_Thionine","Intralaminar nuclei of the dorsal thalamus_NL_Thionine","Isocortex_NL_Thionine","Lateral amygdalar nucleus_NL_Thionine","Lateral group of the dorsal thalamus_NL_Thionine","Lateral septal complex_NL_Thionine","Medial group of the dorsal thalamus_NL_Thionine","Medulla_NL_Thionine","Medulla, behavioral state related_NL_Thionine","Medulla, motor related_NL_Thionine","Medulla, sensory related_NL_Thionine","Mid_Hind_Medulla_NL_Thionine","Midbrain_NL_Thionine","Midbrain, behavioral state related_NL_Thionine","Midbrain, motor related_NL_Thionine","Midbrain, sensory related_NL_Thionine","Midline group of the dorsal thalamus_NL_Thionine","Nucleus accumbens_NL_Thionine","Olfactory areas_NL_Thionine","Olfactory tubercle_NL_Thionine","Pallidum_NL_Thionine","Parasubiculum_NL_Thionine","Peripeduncular nucleus_NL_Thionine","Pons_NL_Thionine","Pons, behavioral state related_NL_Thionine","Pons, motor related_NL_Thionine","Pons, sensory related_NL_Thionine","Posterior amygdalar nucleus_NL_Thionine","Postsubiculum_NL_Thionine","Presubiculum_NL_Thionine","Reticular nucleus of the thalamus_NL_Thionine","Retrohippocampal region_NL_Thionine","root_NL_Thionine","Striatum_NL_Thionine","Striatum-like amygdalar nuclei_NL_Thionine","Striatum dorsal region_NL_Thionine","Striatum ventral region_NL_Thionine","Striatum_Pallidum_NL_Thionine","Subiculum_NL_Thionine","Subparafascicular area_NL_Thionine","Subparafascicular nucleus_NL_Thionine","Thalamus_NL_Thionine","Thalamus, polymodal association cortex related_NL_Thionine","Thalamus, sensory-motor cortex related_NL_Thionine","Ventral group of the dorsal thalamus_NL_Thionine","ventricular systems_NL_Thionine"
"1-03-14-16_03",0.214991258932757,0.251759920356198,0,0.219279273283865,0.23885975455071,0,0.238986326076154,0,0,0,0,0,0,0.328948005304988,0.220064825465611,0,0.238690745599605,0,0.388197778609107,0.171779409789029,0.428740798358995,0.228159506448026,0.232888704362138,0.27349922598185,0.108016543470609,0.154499599681183,0.225849173214939,0.204853079672311,0.270688815358517,0,0.23370739187607,0.215554560916659,0,0.117526247053648,0.0887653546131086,0,0.205703522871694,0.218770978653459,0.254304711463354,0.202812026216966,0.196231145677623,0.222200662287163,0,0,0,0,0.170623277688077,0.188072610897648,0.133604747412355,0.198024687120565,0.190558981431386,0.191098676071159,0.31689800280739,0.228252169941395,0.231955492144683,0.206411232728679,0.222577408988114,0.254954155575274,0.0953065187981133,0.071872628067575,0.114725023524369,0.173909990050916,0.322630275663668,0.278991147049965,0.224295289437832,0.201781227059687,0,0.182795698924731,0.235177158228952,0.252267396015547,0,0,0.236228592701795,0.27593026477596,0,0.192769560570897,0.2160523556425,0,0,0.225902856933633,0.223084799605851,0.215373738039552,0.252539704897535,0,0.250865099759625,0.247492824256901,0,0.239259759052687,0,0,0,0,0,0,0.324473074376517,0.219526351021188,0,0.254338703704706,0,0.699936322133452,0.108815205866101,0.295028812609525,0.253375238590145,0.240838220160408,0.337883394410074,0.0826166779398976,0.142083264774081,0.253292573886566,0.198103068088077,0.268455240544015,0,0.236354127359271,0.210897139343896,0,0.121751071750048,0.0741272118603539,0,0.220229629654418,0.217059780180639,0.255106521385591,0.184008840097155,0.191127604531138,0.22056655268689,0,0,0,0,0.177676284898975,0.193722850674756,0.137515623951673,0.203069786224025,0.219390169479253,0.205520816843438,0.312054937034068,0.225712432611728,0.213480460646549,0.202488025095459,0.229034130766068,0.324700845703056,0.105886428728716,0.0718357234084171,0.187267238607011,0.139504153032973,0.331865708217612,0.284753573915012,0.202208801228691,0.258814593346967,0,0,0.215365047691829,0.245871133823562,0,0,0.23150370059123,0.272082071098184,0,0.18084110505015,0.221903108160473,0,0,0.232159875601404,0.225769361295475
"1-03-28-16_10",0.21339564176747,0.204604771949072,0,0.233504461774407,0.230454998887029,0,0.234711622176085,0,0,0,0,0,0,0.297873658366276,0.218202187396281,0,0.237960587469236,0,0.304163615681832,0.203089209732846,0.446216836349147,0.243718815472794,0.203156729318575,0.209329537033426,0.0574675324675325,0.14676209867686,0.257188836938238,0.20636265867581,0.237557009716439,0,0.228385555572948,0.207269433416834,0,0.0742532952262715,0.191840016078786,0,0.123568803825036,0.216731653173868,0.221766739284315,0.191823144104804,0.18787259664677,0.11626064004853,0,0,0,0,0.1868050874959,0.18738224216977,0.146211785556048,0.191519681109391,0.220202074778474,0.0876850445111309,0.269267423287524,0.219975310453308,0.211529806730065,0.194966395846827,0.295535886197094,0.138637485601448,0.181355455340818,0.172696817786958,0.193680716132602,0.255364228206017,0.255994932585286,0.244319905057032,0.288459484124198,0.241519630650299,0,0,0.205445455490433,0.227554767858158,0,0,0.223835307280739,0.255586542339854,0.000919399325773828,0.120030484996189,0.172661560825453,0,0,0.188593229258025,0.181313069826583,0.217758182903984,0.203277373666896,0,0.243457943222184,0.231062304838946,0,0.238139052848953,0,0,0,0,0,0,0.326953730103495,0.221266740872888,0,0.24576696393752,0,0.642504838005372,0.0919869073698877,0.34216568248211,0.253934400664208,0.20538189258312,0.206758578236274,0.0792633885237263,0.130592350037816,0.255421118263624,0.21194990018552,0.249657771344054,0,0.228322289614452,0.189807344311989,0,0.0725718101022146,0.0491570311995349,0,0.139062774858784,0.219499888595169,0.242416286605857,0.197709202717878,0.172333097813676,0.123881430321703,0,0,0,0,0.194277357036439,0.193415372035414,0.155873964905847,0.198097769428485,0.21103538471992,0.103288929218076,0.267391859052248,0.2156095247878,0.210547823305006,0.199457567115935,0.287064055278024,0.211504281790273,0.203658523379915,0.17707407669692,0.246366144432928,0.333436724565757,0.295441865654988,0.26651586758119,0.255964347428417,0.238303232695345,0,0.0867526377491207,0.206602119596118,0.230058487654787,0,0,0.224112982706992,0.255921682259412,0.0015015015015015,0.132124914314472,0.175103855313116,0,0,0.182123437257441,0.176969748995398
"1-03-28-16_18",0.211694819350514,0.206790025937618,0,0.213895159686261,0.207744431069694,0,0.206302051360086,0,0,0,0,0,0,0.245434750048965,0.20415014641442,0,0.214537902450547,0,0.253942695647324,0.167873462410761,0.351679649723158,0.191109810262247,0.223441132077124,0.211976613183852,0.067810976901886,0.133725937254265,0.210492943867977,0.202036367649899,0.219398270364142,0,0.226634670256825,0.221118846888881,0,0.108045952913812,0.000275178866263071,0,0.179400385797949,0.20341025098128,0.221507162134108,0.209955580786964,0.155565273777389,0.183846149759044,0,0,0,0,0.191650913496077,0.199827278835327,0.0949118949418199,0.210296324138693,0.224149599108403,0.151013015623537,0.260803503730452,0.209855505397248,0.21508436617369,0.183853466962524,0.310173675999109,0.19775454437448,0.144056791994085,0.163753204988918,0.129061271971513,0.182872087421331,0.314912522232227,0.260442546866689,0.262042888481897,0.165017419940814,0,0,0.193652315770393,0.234043008806644,0,0,0.20415934408698,0.279907605408701,0,0.219868296981033,0.193461798019414,0,0,0.204509127199671,0.189588739704389,0.206955717201452,0.214384481395938,0,0.235553420230309,0.236672284270909,0,0.205353561162036,0,0,0,0,0,0,0.279298265438725,0.202706655884378,0,0.235391625772557,0,0.474354777955292,0.102418393544838,0.227452105403098,0.208855009242765,0.232311728103165,0.254450344338216,0.056203752459607,0.123619756486749,0.206292425752272,0.192570582334114,0.214787464491681,0,0.229376413650647,0.229510487992206,0,0.103119247552317,0.00628140703517588,0,0.168693518842103,0.200331121204812,0.225004551929483,0.199371337439702,0.148926589076532,0.161706860153831,0,0,0,0,0.197960026954389,0.203006372739303,0.148323480006108,0.212169910587349,0.22616475843645,0.107119962545468,0.260240201116972,0.205778889800165,0.213946568706946,0.180882133115594,0.319116518567123,0.225176411290323,0.168763423607013,0.167909799042084,0.230919541507071,0.184681385371979,0.347989873417722,0.276432440680552,0.281997453562967,0.228188416530884,0,0,0.178560487737013,0.217049930715673,0,0,0.2001155151958,0.286473937749114,0,0.232772836927952,0.191278173260092,0,0,0.209118690522825,0.185119794406896
"1-04-26-15_06",0.216260029150749,0.250813933534062,0,0.265615133656072,0.278064213246475,0,0.241387834012427,0,0,0,0,0,0,0.314130129003737,0.278988279901469,0,0.286590031349309,0,0.237577906249662,0.219012922805418,0.37007280688356,0.271285366347884,0.272517084918792,0.32084521370338,0.0585452193743831,0.173733636704657,0.243204796931692,0.231353632336847,0.289147462385533,0,0.254234704202736,0.280913201254643,0,0.206696221511913,0.0448476052249637,0,0.269801558499751,0.278410357164447,0.320654501225301,0.248596927683929,0.22335659459913,0.218131996186306,0,0,0,0,0.214783887803309,0.224513292919584,0.199508193259909,0.228246179333833,0.230338820988685,0.255292598237456,0.299380273695762,0.267103794311328,0.236292105800347,0.20980928019089,0.341995269875016,0,0.183126024965406,0.171670614282166,0.196829006962714,0.18652505660902,0.338719707320173,0.281438744128751,0.290573636171808,0.249110107069098,0,0,0.237209798631118,0.295065615880616,0,0,0.241899041129174,0.302255323541211,0,0.210805548514943,0.244666322420455,0,0,0.231698168732185,0.208810326847979,0.216026380701055,0.256014628652661,0,0.290346543527674,0.294665778626411,0,0.241502283832402,0,0,0,0,0,0,0.317551524823385,0.280517064143219,0,0.295071692313063,0,0.471142739753638,0.122274738842006,0.300892722263385,0.267562557836222,0.287604134040716,0.343326983201646,0.167447649729097,0.153767831605723,0.241299623767514,0.243028793480206,0.295562979218679,0,0.259553860495174,0.258027531812963,0,0.233113423515028,0.110154469485946,0,0.280040912364495,0.279379437334837,0.309687429948442,0.243130494778995,0.219947294012431,0.227102773027242,0.0481522956326988,0.0481522956326988,0,0,0.231364900243535,0.240668012284935,0.228543873595731,0.244445441666305,0.267513234052195,0.181759852948189,0.307573355518023,0.267146299729152,0.243102336913177,0.209985525269617,0.367931846868472,0,0.203662620919439,0.199234799191545,0.249520446737895,0.216377852141626,0.356739403604424,0.304526307955645,0.332142711303383,0.244100244152848,0,0,0.214022104775792,0.289684964187852,0,0,0.241263142652745,0.299036276016377,0,0.240456691972025,0.243681371548995,0,0,0.241430949318843,0.217760934823559
"1-04-26-15_17",0.199726146712921,0.26358066627963,0,0.275609150910625,0.282890709490481,0,0.221168464107154,0,0,0,0,0,0,0.288842791993919,0.24987260181877,0,0.279596020718987,0,0.436078618779406,0.14827162295853,0.46759693533188,0.267539726697048,0.234290554087862,0.287187518980971,0.0276909334524341,0.164353818811549,0.24102097318618,0.247404804021972,0.290681915229378,0,0.241282165365248,0.221603352264628,0,0.176862836498881,0.0016974726518295,0,0.251646781345053,0.247811726620524,0.295760196560197,0.209619900843698,0.170072255594812,0.208122548266161,0,0,0,0,0.189148403393987,0.206976781942701,0.1345465427698,0.208383418050163,0.233993106483319,0.199389175690031,0.283944038120905,0.272177477770491,0.237144527812514,0.194920964935563,0.362848258913596,0.305293127992753,0.0951519462099252,0.0913509757520534,0.067030464020059,0.14971412660695,0.35200029771873,0.298473983260193,0.310130416153958,0.2106295615858,0,0,0.194708331668643,0.295322470031002,0,0,0.223440054415776,0.31052097852775,0.296718322698268,0.240104549058765,0.225910400396605,0,0,0.21743241030664,0.229256823452964,0.202172865557652,0.258904414601246,0,0.29077754594619,0.283031013170665,0,0.224141175331402,0,0,0,0,0,0,0.30117524546266,0.24252760625913,0,0.277406459701689,0,0.744959615857733,0.105364992453371,0.37056093089306,0.263201988890717,0.243817183565908,0.372560284300916,0.0945204982025491,0.142019636174423,0.243034270418707,0.253493779001333,0.287053194362864,0,0.249605469219529,0.217247517916829,0,0.185630822128784,0.00660180681028492,0,0.264542856225312,0.240234555504952,0.299549761863079,0.202895207849908,0.162092320235976,0.178008749925086,0,0,0,0,0.206112119282704,0.216498623369826,0.13699850795756,0.218930369973857,0.273202044994977,0.169932486080969,0.286483091475291,0.257670913784654,0.231798404518845,0.192363521089162,0.387978263171243,0.269491054046538,0.154257192842599,0.119933331900638,0.182286954719823,0.209576183906259,0.338710949480787,0.324133040004632,0.326682032564385,0.234897260273973,0,0,0.187043782219807,0.290500871252624,0,0,0.223395013594719,0.303783640489659,0.12890625,0.236190243306028,0.224710876993187,0,0,0.216048399187072,0.271418226071158
"1-06-24-15_06",0.230288672847231,0.270000780607864,0,0.273814743066884,0.283194940129247,0,0.230568459232462,0,0,0,0,0,0,0.340299661097568,0.267326850556247,0,0.275071237848169,0,0.345878346145253,0.186544867776063,0.424321803946457,0.258945219729533,0.261459417440039,0.351995540600473,0.137069520437721,0.16620395820374,0.211927247564303,0.256709699873587,0.268491069443415,0,0.255687146977599,0.230544951482286,0,0.11726075283027,0.182770036184464,0,0.208321574755402,0.266729021954407,0.270077294245583,0.22831279280606,0.235275587671572,0.207370227959352,0,0,0,0,0.221520466408936,0.232606039572367,0.162954546558095,0.242880677704038,0.251669815163103,0.202171064150383,0.312605021707136,0.253173364123253,0.226167959669532,0.220701143302158,0.361239749867264,0.263074849610466,0.158483829978923,0.188480441428264,0.117601921871478,0.19758519047519,0.345215026347102,0.311363709681136,0.318243161930304,0.19385886216294,0,0,0.241183941576869,0.254806104009344,0,0,0.237108234523976,0.324398168105876,0,0.219901752878963,0.231940924758837,0,0,0.238801607180728,0.315519995454551,0.233292851226674,0.278438609897583,0,0.277180428202098,0.271856780723609,0,0.231857762004863,0,0,0,0,0,0,0.358629838557545,0.268731638283586,0,0.276265941733164,0,0.553845749365724,0.132969778177328,0.344757209195666,0.259856712984188,0.270131034011871,0.432891153148388,0.249306243805748,0.152529282123835,0.248203242520475,0.260407599100434,0.278066698704376,0,0.260594766296974,0.219960045849026,0,0.127745867030993,0.147894926232458,0,0.232220788162638,0.268148530000571,0.277294619150212,0.219569967964226,0.237357479511576,0.212385169633884,0,0,0,0,0.23216067344575,0.239202928196716,0.201684130551774,0.243459271153714,0.275172750166988,0.237853705761569,0.312446329314345,0.249899799013187,0.247742051231207,0.21380197681788,0.363619301370468,0.296342959450947,0.184789657394114,0.176955711710982,0.181130633447361,0.271400961840982,0.369637964335444,0.30653690343169,0.348256819189164,0.245330538261253,0,0,0.226335254554842,0.248930341776387,0,0,0.237341532748252,0.31750096114008,0,0.232153281307607,0.238370521086534,0,0,0.237541239905836,0.356163042606114
"1-06-24-15_08",0.232161897529976,0.256544510111803,0,0.239266461372184,0.216760245979909,0,0.245865640602852,0,0,0,0,0,0,0.343904202960697,0.264350075060718,0,0.25881570409459,0,0.3896386459242,0.1965349211261,0.481084386020461,0.254502905273408,0.263407372684616,0.285819614485893,0.190820536815688,0.169002299316992,0.263497334057022,0.250486859451282,0.276335321098561,0,0.267663664025688,0.255285117050195,0,0.133205514665301,0.133895904638263,0,0.224346170106312,0.264741257110315,0.287974778176971,0.224848523066498,0.234614891198082,0.204610995278401,0,0,0,0,0.192750790256504,0.211997407386943,0.18186919628098,0.221661554847802,0.209188700017187,0.182045399318979,0.327248864405453,0.25765496029673,0.207308138541446,0.209466654800652,0.391514246807024,0.212554197871502,0.115654183915082,0.108599363823848,0.0837650358737976,0.177572762758244,0.331471659794027,0.305784147945353,0.351169101611819,0.186964790521049,0,0.454106280193237,0.256170378515092,0.257520649732158,0,0,0.242641947734996,0.333522898317462,0.220792103458411,0.214594028364895,0.221287921898395,0,0,0.209350669225815,0.269072026095534,0.238951899549325,0.259278895483195,0,0.272574077058166,0.243419692922222,0,0.243236574271397,0,0,0,0,0,0,0.351607667827584,0.264788171863564,0,0.275275741315204,0,0.640162791643707,0.114413758815213,0.432457915218454,0.268619382819543,0.266203871021037,0.347982828809442,0.190066035027275,0.143878159540592,0.262497090851186,0.257399941195188,0.277392392392392,0,0.269550071061678,0.233670226538365,0,0.137414060209918,0.0784595805898301,0,0.27644738709671,0.264032199141887,0.307459361145845,0.216992434948516,0.230695203451485,0.212793302959499,0,0,0,0,0.210315307083679,0.220798962961171,0.194455032512849,0.223693817501201,0.250389612855978,0.209185202740853,0.324154177827942,0.254238530143517,0.211492023370099,0.195514697227065,0.392427911413388,0.253082508894196,0.166490467530855,0.16447522072969,0.21910466884684,0.17962847616605,0.323453965847485,0.321827931551139,0.363729270795406,0.252625438828728,0,0.227053140096618,0.226072841133817,0.23622437989264,0,0,0.234645876443433,0.324025556837905,0.230585533869116,0.245167296424073,0.235192109215971,0,0,0.219687440062373,0.319655913790986
"1-06-24-15_13",0.219017377581672,0.230187798704028,0,0.240481097620327,0.25695414015146,0,0.251927012492125,0,0,0,0,0,0,0.339132016357567,0.267920041376526,0,0.260344359411574,0,0.370507328129126,0.257313109738331,0.398582690183288,0.254464753783245,0.289125370605676,0.299845393754513,0.267938060309698,0.166582765139446,0.246536428621324,0.235293795840065,0.265394220478059,0,0.260475551667059,0.240224905972129,0,0.0679443880842026,0.0835513155870134,0,0.237799827542234,0.26845946520416,0.287946493859338,0.230686166597551,0.213404836276496,0.214711344936315,0,0,0,0,0.204781554737137,0.218403595876675,0.138585788744601,0.220233067737124,0.292779195223746,0.172407557354926,0.278136456727208,0.252885113277375,0.191947638472179,0.173800952252483,0.314505224840915,0.120948399917769,0.130010735027948,0.150780961408449,0.0567725018449939,0.227426508279659,0.255118897350965,0.282985256545484,0.260287683962349,0.226205611431477,0,0.0506706408345753,0.229982108716995,0.256900208160518,0,0,0.231632907454595,0.289927660219618,0,0.163903247829903,0.221738034119328,0,0,0.22146873895849,0.261949430198465,0.226990931647125,0.255925490571347,0,0.257075235749829,0.26640556118685,0,0.24988434759126,0,0,0,0,0,0,0.346239448549815,0.270822457486416,0,0.267039394500644,0,0.658307671597085,0.143213146870996,0.35316807835539,0.264503468110303,0.254529924516074,0.4016830114342,0.252042407234175,0.14668211747171,0.262920964599778,0.24777325278275,0.273438434911334,0,0.266644164085393,0.210606701641564,0,0.083031715494719,0.127118644067797,0,0.262392948990038,0.271096525303422,0.29133770051009,0.223385870350106,0.232330363924422,0.211963761916402,0,0,0,0,0.219103034199096,0.227511932938001,0.169145651734117,0.231632534832721,0.286526981650443,0.205478310754999,0.276333054005778,0.248447548302732,0.211918194865967,0.185639433003106,0.408703326058698,0.272802028369766,0.170633463062756,0.173560581114144,0.183266700197939,0.281404919390984,0.256345270890725,0.330619720967629,0.330750599291237,0.230803976480477,0,0.181818181818182,0.223826442788698,0.241917307714129,0,0,0.233141959055565,0.325333043975594,0,0.205634289205594,0.23062618627163,0,0,0.226568689133542,0.350532876240748
"1-09-23-15_04",0.193039722090052,0.213467217646735,0,0.258967684978005,0.261013122548555,0,0.194315762350709,0.113283759585549,0,0,0,0,0,0.283353307886759,0.223923746410819,0,0.257756273642505,0,0.323075767285974,0.226624537625962,0.479198173930917,0.236524640106413,0.244639761280708,0.29571442994412,0.226191540731467,0.15958391140581,0.224524257972332,0.235754270130616,0.248569745201175,0,0.245639275910766,0.240404332874555,0,0.0947936316100355,0.0127070686284597,0,0.196466166892942,0.221578545215623,0.27944890077243,0.223004435656642,0.199330135633763,0.176161116744506,0.186868686868687,0,0,0.186925448236774,0.194404831714008,0.207542035570314,0.14529213457809,0.205213755114036,0.242431844431046,0.158263853584138,0.285938205786986,0.240082255385466,0.216110700149699,0.179044109402316,0.384712328296556,0.185549525101764,0.142022295499951,0.182204326411797,0.116145925083676,0.157229357686897,0.294985277058981,0.286079150159715,0.377334762126206,0.13740357634892,0,0.073469387755102,0.19270055731798,0.236291835927402,0,0,0.203720332397953,0.310206441606277,0,0.147405513114959,0.19814207306704,0,0,0.189265803066328,0.224731781783432,0.208463128359176,0.219883962287744,0,0.263080146073336,0.27235073933584,0,0.189917135713234,0.0679161475543037,0,0,0,0,0,0.29202035643883,0.217867216478338,0,0.262659682290922,0,0.628318732700938,0.103329999444012,0.522912711299329,0.223553172157699,0.245131966651838,0.323360254527655,0.0929130613926658,0.128473719080539,0.225135802894259,0.254026993656367,0.248142051530062,0,0.251696208235221,0.203828615896538,0,0.103905995637384,0.153226532265323,0,0.239750142960118,0.214503374399816,0.279258511038922,0.21679308671934,0.211839459102153,0.176691466796244,0.0671739601897165,0,0,0.0666386618803941,0.204477308343154,0.213356565069271,0.195570677279511,0.211783450706551,0.247958948554917,0.12978894210689,0.288452823702222,0.225821039443678,0.232709957629933,0.178772055225885,0.388732007171864,0.160231898359442,0.175032564410236,0.195825521287982,0.184084612344847,0.191012393147722,0.370781598878602,0.336213486811673,0.385616378607378,0.212075289028055,0,0.102040816326531,0.188492719938586,0.224638681400736,0,0,0.202550729027203,0.328476379876315,0,0.166948944860449,0.208568349818114,0,0,0.201034157138729,0.238018734687648
"1-1-11-16_12",0.239616638288082,0.246386664276038,0,0.247402174389483,0.235113767547389,0,0.204142445543105,0,0,0,0,0,0,0.28128177224632,0.233350536148569,0,0.230041203481907,0,0.366924608321431,0.173979301703427,0.436640574387351,0.214316370055067,0.203847139281421,0.283533143164908,0.111910173343736,0.160156358731544,0.201352577675986,0.253651985235893,0.273679088009405,0,0.250637522379366,0.247823387616263,0,0.122624593649423,0.128454719276899,0,0.252197568237101,0.233579201415531,0.255019592754603,0.226030934814821,0.204930898898275,0.209867079206016,0,0,0,0,0.223638330905935,0.227874486132746,0.215665391240319,0.225380202567654,0.282698609810674,0.2120675911876,0.248965185188734,0.205509180865915,0.187523125567628,0.193652928402245,0.434769771717687,0.284465943668565,0.191635752903441,0.199186425089222,0.199022763148354,0.226989793172727,0.272545293012899,0.280776091954023,0.335172735595223,0.192130609856563,0,0,0.206365614850198,0.242297810833957,0,0,0.207342461665424,0.292025884646506,0.257520709199244,0.209309490574817,0.229116001041202,0,0,0.226758814129251,0.258573028547705,0.241835553340882,0.248398949053738,0,0.245789735370667,0.242842481974633,0,0.203083863528003,0,0,0,0,0,0,0.289224558691939,0.231224136631457,0,0.23627074934981,0,0.673665391799342,0.111918845743437,0.31584035621259,0.227823517855092,0.235022166134321,0.362733097197625,0.16842330369963,0.148275984319548,0.2126711852066,0.259902297713428,0.281720741599073,0,0.257653662221833,0.213968660292489,0,0.12336629137135,0.0803874092009685,0,0.271553429666174,0.230867373147749,0.241968170600286,0.220388479141005,0.195683829343137,0.205343119290071,0,0,0,0,0.223169009253384,0.228938334722288,0.22201864847283,0.227952874022294,0.276694270713236,0.214617336727831,0.254847903748955,0.200861087763045,0.182054500957381,0.191847816970631,0.406450269664395,0.238625381731029,0.189098784579476,0.181485618885111,0.24026151826628,0.175122656065046,0.308376241523874,0.292200791616032,0.337095224860179,0.244141839801971,0,0,0.187596504979591,0.24368700870128,0,0,0.205540810611831,0.290632290468812,0.235554184659675,0.24802044933336,0.235460136015652,0,0,0.224072709499888,0.272841488479485
