"Brain.ID","Ammon's horn_RG_Iba1","Anterior group of the dorsal thalamus_RG_Iba1","Basic cell groups and regions_RG_Iba1","Basolateral amygdalar nucleus_RG_Iba1","Basomedial amygdalar nucleus_RG_Iba1","Brain stem_RG_Iba1","Caudoputamen_RG_Iba1","Cerebellar cortex_RG_Iba1","Cerebellar nuclei_RG_Iba1","Cerebellum_RG_Iba1","Cerebral cortex_RG_Iba1","Cerebral nuclei_RG_Iba1","Cerebrum_RG_Iba1","Claustrum_RG_Iba1","Cortex_RG_Iba1","Cortical plate_RG_Iba1","Cortical subplate_RG_Iba1","Dentate gyrus_RG_Iba1","Dentate gyrus, granule cell layer_RG_Iba1","Dentate gyrus, molecular layer_RG_Iba1","Dentate gyrus, polymorph layer_RG_Iba1","Endopiriform nucleus_RG_Iba1","Entorhinal area_RG_Iba1","Epithalamus_RG_Iba1","Fasciola cinerea_RG_Iba1","fiber tracts_RG_Iba1","Fundus of striatum_RG_Iba1","Geniculate group, dorsal thalamus_RG_Iba1","Geniculate group, ventral thalamus_RG_Iba1","Hindbrain_RG_Iba1","Hippo_RG_Iba1","Hippocampal formation_RG_Iba1","Hippocampal region_RG_Iba1","Hypothalamus_RG_Iba1","Induseum griseum_RG_Iba1","Interbrain_RG_Iba1","Intralaminar nuclei of the dorsal thalamus_RG_Iba1","Isocortex_RG_Iba1","Lateral amygdalar nucleus_RG_Iba1","Lateral group of the dorsal thalamus_RG_Iba1","Lateral septal complex_RG_Iba1","Medial group of the dorsal thalamus_RG_Iba1","Medulla_RG_Iba1","Medulla, behavioral state related_RG_Iba1","Medulla, motor related_RG_Iba1","Medulla, sensory related_RG_Iba1","Mid_Hind_Medulla_RG_Iba1","Midbrain_RG_Iba1","Midbrain, behavioral state related_RG_Iba1","Midbrain, motor related_RG_Iba1","Midbrain, sensory related_RG_Iba1","Midline group of the dorsal thalamus_RG_Iba1","Nucleus accumbens_RG_Iba1","Olfactory areas_RG_Iba1","Olfactory tubercle_RG_Iba1","Pallidum_RG_Iba1","Parasubiculum_RG_Iba1","Peripeduncular nucleus_RG_Iba1","Pons_RG_Iba1","Pons, behavioral state related_RG_Iba1","Pons, motor related_RG_Iba1","Pons, sensory related_RG_Iba1","Posterior amygdalar nucleus_RG_Iba1","Postsubiculum_RG_Iba1","Presubiculum_RG_Iba1","Reticular nucleus of the thalamus_RG_Iba1","Retrohippocampal region_RG_Iba1","root_RG_Iba1","Striatum_RG_Iba1","Striatum-like amygdalar nuclei_RG_Iba1","Striatum dorsal region_RG_Iba1","Striatum ventral region_RG_Iba1","Striatum_Pallidum_RG_Iba1","Subiculum_RG_Iba1","Subparafascicular area_RG_Iba1","Subparafascicular nucleus_RG_Iba1","Thalamus_RG_Iba1","Thalamus, polymodal association cortex related_RG_Iba1","Thalamus, sensory-motor cortex related_RG_Iba1","Ventral group of the dorsal thalamus_RG_Iba1","ventricular systems_RG_Iba1","Ammon's horn_NL_Iba1","Anterior group of the dorsal thalamus_NL_Iba1","Basic cell groups and regions_NL_Iba1","Basolateral amygdalar nucleus_NL_Iba1","Basomedial amygdalar nucleus_NL_Iba1","Brain stem_NL_Iba1","Caudoputamen_NL_Iba1","Cerebellar cortex_NL_Iba1","Cerebellar nuclei_NL_Iba1","Cerebellum_NL_Iba1","Cerebral cortex_NL_Iba1","Cerebral nuclei_NL_Iba1","Cerebrum_NL_Iba1","Claustrum_NL_Iba1","Cortex_NL_Iba1","Cortical plate_NL_Iba1","Cortical subplate_NL_Iba1","Dentate gyrus_NL_Iba1","Dentate gyrus, granule cell layer_NL_Iba1","Dentate gyrus, molecular layer_NL_Iba1","Dentate gyrus, polymorph layer_NL_Iba1","Endopiriform nucleus_NL_Iba1","Entorhinal area_NL_Iba1","Epithalamus_NL_Iba1","Fasciola cinerea_NL_Iba1","fiber tracts_NL_Iba1","Fundus of striatum_NL_Iba1","Geniculate group, dorsal thalamus_NL_Iba1","Geniculate group, ventral thalamus_NL_Iba1","Hindbrain_NL_Iba1","Hippo_NL_Iba1","Hippocampal formation_NL_Iba1","Hippocampal region_NL_Iba1","Hypothalamus_NL_Iba1","Induseum griseum_NL_Iba1","Interbrain_NL_Iba1","Intralaminar nuclei of the dorsal thalamus_NL_Iba1","Isocortex_NL_Iba1","Lateral amygdalar nucleus_NL_Iba1","Lateral group of the dorsal thalamus_NL_Iba1","Lateral septal complex_NL_Iba1","Medial group of the dorsal thalamus_NL_Iba1","Medulla_NL_Iba1","Medulla, behavioral state related_NL_Iba1","Medulla, motor related_NL_Iba1","Medulla, sensory related_NL_Iba1","Mid_Hind_Medulla_NL_Iba1","Midbrain_NL_Iba1","Midbrain, behavioral state related_NL_Iba1","Midbrain, motor related_NL_Iba1","Midbrain, sensory related_NL_Iba1","Midline group of the dorsal thalamus_NL_Iba1","Nucleus accumbens_NL_Iba1","Olfactory areas_NL_Iba1","Olfactory tubercle_NL_Iba1","Pallidum_NL_Iba1","Parasubiculum_NL_Iba1","Peripeduncular nucleus_NL_Iba1","Pons_NL_Iba1","Pons, behavioral state related_NL_Iba1","Pons, motor related_NL_Iba1","Pons, sensory related_NL_Iba1","Posterior amygdalar nucleus_NL_Iba1","Postsubiculum_NL_Iba1","Presubiculum_NL_Iba1","Reticular nucleus of the thalamus_NL_Iba1","Retrohippocampal region_NL_Iba1","root_NL_Iba1","Striatum_NL_Iba1","Striatum-like amygdalar nuclei_NL_Iba1","Striatum dorsal region_NL_Iba1","Striatum ventral region_NL_Iba1","Striatum_Pallidum_NL_Iba1","Subiculum_NL_Iba1","Subparafascicular area_NL_Iba1","Subparafascicular nucleus_NL_Iba1","Thalamus_NL_Iba1","Thalamus, polymodal association cortex related_NL_Iba1","Thalamus, sensory-motor cortex related_NL_Iba1","Ventral group of the dorsal thalamus_NL_Iba1","ventricular systems_NL_Iba1"
"1-11-23-15_03",0.130883530367045,0.107129389409363,0,0.116977866122811,0.0651454209863264,0,0.108938063789427,0,0,0,0,0,0,0.110198469016332,0.0818378826816023,0,0.0946484375125445,0,0.126326934837573,0.117983061299639,0.158746652290355,0.112576923894917,0.0455351598525685,0.0374265622851399,0,0.0884652156250261,0.133512633590488,0.188422288778232,0.214447433173252,0,0.107004140977141,0.0632180084570984,0,0.0358193301087672,0.0422381091333528,0,0.14471410468108,0.0808339597307734,0.0538888382007747,0.171066995644815,0.0767683515178505,0.0980500445428936,0,0,0,0,0.0832912076899223,0.0871098348148876,0.0667214679677556,0.0975934100138905,0.0645904013333758,0.0258262201794703,0.115371578992939,0.0767656383519324,0.0652452587604605,0.114629818667948,0.0546664385904892,0,0.0704094395512345,0.0715688397862251,0.000132127824232243,0.0708186513041371,0.0375584771226086,0.0490364555548241,0.0643416201873406,0.150369146289399,0,0,0.0880618421372487,0.0751356294479313,0,0,0.102863641123364,0.192794238099572,0,0.0784799577766049,0.135098932272976,0,0,0.190813008909818,0.0579337699610817,0.128933359914973,0.113271397065621,0,0.135842836167577,0.0590747751770143,0,0.110224188925281,0,0,0,0,0,0,0.107281477013454,0.0790199889491694,0,0.0985509892009518,0,0.119131326023477,0.165558597513779,0.192111151631392,0.11421632585421,0.0577998254690392,0.0811618590135547,0.0150597312937832,0.0849941923546043,0.131067547245865,0.203372828301926,0.163333275361311,0,0.111938709376196,0.0724011994612458,0,0.0354990967820761,0.0352241872752623,0,0.148912411789124,0.0774706309193392,0.0650920014680362,0.187640576272157,0.0678672268480049,0.101889563428025,0.0552436873575085,0,0,0.275678866587957,0.0805359269184753,0.0812894423473182,0.0536152447301693,0.0953987741232942,0.0422873581141893,0.0270807763243392,0.113028616941205,0.0734142192887969,0.0398583451501214,0.113066736929637,0.0523877683020314,0,0.0792418083351732,0.0871571917870455,0.0690350577092749,0.117400986915584,0.0411556640686136,0.0661746078041075,0.073557436944344,0.145264474758598,0,0,0.0838844728123417,0.0545080080329087,0,0,0.0985199835750894,0.169066939315798,0,0.0942430336110313,0.139346775413725,0,0,0.200589788601067,0.0500007918634447
"1-11-23-15_17",0.175616193335651,0.0845126536036264,0,0.155870699666913,0.08169357705935,0,0.140400852909525,0,0,0,0,0,0,0.102683828423392,0.10108842043573,0,0.110152540290889,0,0.146136320043596,0.135694087837627,0.150772128535331,0.121048497179798,0.104300566454454,0.0372373952458468,0.000995222929936306,0.106368025845898,0.156342778082034,0.215725523247647,0.177267478793111,0,0.138119964189794,0.100113055607539,0,0.0461932779681961,0,0,0.146621872349449,0.100461051416286,0.098963328143289,0.192600044823082,0.110451475387526,0.11752165375555,0,0,0,0,0.108600314358298,0.110565680978451,0.0913926153406304,0.121636430915074,0.0906412329120947,0.0207559672040427,0.155362386493543,0.0794164652015225,0.0664391933020363,0.173842507614019,0.0298785499041183,0,0.100823256928133,0.15318711885481,0.0626190587417016,0.085565568982153,0.0723288499319933,0.0865426166872751,0.0702758178319436,0.137222483736795,0,0,0.12737418275533,0.0973726450958858,0,0,0.136578505151941,0.197276476768153,0,0.105044225802911,0.145609184445029,0,0,0.222226813408475,0.0629576020583469,0.179525186430747,0.101302760140803,0,0.160755814393338,0.0744710214292845,0,0.141109843754536,0,0,0,0,0,0,0.0947488685578652,0.098454788406187,0,0.10853457530463,0,0.116265517073918,0.148863981132562,0.216269429613038,0.112917384575332,0.104092051780695,0.0472351960861449,0.0185877395677586,0.100469994167777,0.11374396690416,0.203345665307647,0.177871314701022,0,0.144400365448946,0.0941150145446409,0,0.0518007413913596,0,0,0.174821387898536,0.097792207090024,0.098087385954633,0.196578363489449,0.112823941923531,0.152330209401385,0.0241946088099934,0,0,0.0241946088099934,0.111503225550387,0.113039463280137,0.0877598418749899,0.12336426503529,0.103849890859223,0.0132912161341271,0.154867019651536,0.0730114059294516,0.064537899867996,0.176354110560404,0.0538135505613331,0,0.104907275110843,0.159121371201121,0.0413882738666719,0.0675082327113063,0.0746436049313223,0.110205349327805,0.0749935870326333,0.169338828233408,0,0,0.115288235494532,0.0950583470756327,0,0,0.136226650681879,0.237502294925959,0,0.11083548208859,0.152191505268856,0,0,0.231982428765126,0.0529209795346989
"1-12-02-15_14",0.210463930437272,0.113961036246158,0,0.173031002441085,0.118335268042639,0,0.178641873794149,0,0,0,0,0,0,0.159708752715147,0.129093907325674,0,0.138201069613271,0,0.175035179790112,0.188565415985558,0.232244058770162,0.15030644180546,0.111056054884317,0.0479900744416873,0,0.14310937483708,0.184072357356741,0.201023555043242,0.2075399691968,0,0.170358603869592,0.131421023816365,0,0.0607154381500529,0.00238214643931795,0,0.157954387006124,0.128344511996767,0.0801860202931229,0.212935533689175,0.16155046776218,0.14170299702922,0,0,0,0,0.118709615261585,0.124327180523894,0.0732584822921699,0.135583319747445,0.103368874104785,0.0390472723199283,0.164077961858273,0.115925468171481,0.107245769166145,0.178797195834866,0.0632828282828283,0,0.0897452677995478,0.0775813734651602,0.031893695748045,0.176051166050453,0.103052577437992,0.121391171754998,0.154408781169345,0.186065784054928,0,0,0.118041994588413,0.120371023714984,0,0,0.165393246906986,0.267406545257582,0,0.17488305554294,0.168750040592953,0,0,0.222094960953172,0.0710414945753876,0.214359267364485,0.116322581700659,0,0.18018613587299,0.116567892769098,0,0.181994312942624,0,0,0,0,0,0,0.170692978839575,0.125800694242447,0,0.141516574638278,0,0.149311842281358,0.192276388161723,0.255425918956216,0.151346813296011,0.1046502576379,0.0418699093649643,0,0.143094152772896,0.186868300950978,0.207056582318052,0.226005595653232,0,0.174848373925888,0.114085209188173,0,0.0670357834392102,0,0,0.141677428742929,0.124527276358585,0.0851862617859351,0.212557710728831,0.16878983847436,0.113532122003517,0,0,0,0,0.135910595465547,0.137707792179543,0.138313701584305,0.149203890662978,0.111336517419293,0.0365139778855939,0.161032096102679,0.107623721378909,0.0836222743947651,0.179361351286397,0.0789912448688724,0,0.127065779420493,0.165161533549888,0.118561790576056,0.0986166733705252,0.0998736494675228,0.122688475600484,0.146300984461076,0.189001479397335,0,0,0.117072808778606,0.116799621899968,0,0,0.165427167028798,0.27691877369254,0,0.180867522013749,0.168593003785621,0,0,0.223627336924171,0.0573722819241499
"1-12-07-15_08",0.192721175267883,0.11197624154164,0,0.178498786667865,0.120914350008583,0,0.161336218355266,0,0,0,0,0,0,0.157832431387708,0.116596333257334,0,0.144691997289617,0,0.125441485269436,0.131427075200833,0.160974563910065,0.135236624791187,0.0950102500320713,0.0517280633850918,0.00112898673440587,0.129980052533054,0.215111902850261,0.210417330930638,0.197649465619876,0,0.150621368301467,0.0767583634025382,0,0.0619623368073075,0,0,0.142611004406282,0.114413877800146,0.090058748626488,0.23459483102473,0.140029061109213,0.117070041313514,0,0,0,0,0.10442053894373,0.112308498688555,0.0648108739305046,0.122463740121265,0.0794445119870737,0.0240395473935685,0.149364807480886,0.101685042875198,0.081652245326363,0.126671341996862,0.0762180658708247,0,0.0749197400992598,0.0699902120233923,0.0761830819198678,0.0903755624062656,0.194391793150348,0.114921135489279,0.0929952875937061,0.2165078199329,0,0,0.100983062452287,0.113330852038479,0,0,0.141762267617853,0.239041493983249,0,0.155101599654129,0.169472633536091,0,0,0.211850981087379,0.0311095404152625,0.196623178535478,0.111496196846881,0,0.182404860358517,0.111653431493102,0,0.166576616066246,0,0,0,0,0,0,0.148275711159737,0.111230659024852,0,0.139879159108241,0,0.114987758330524,0.151512626908188,0.203254510614346,0.132920069940628,0.0941195700141275,0.0638233238170522,0.0325237856785178,0.124941246919152,0.185442390003824,0.217596222535849,0.199882759547159,0,0.155408498568225,0.0777926450633067,0,0.0724438765397795,0.00856836843984291,0,0.150405999516589,0.108978278111349,0.0799225785599906,0.245963059660785,0.133331796478104,0.109690483241771,0,0,0,0,0.117212645292981,0.121608666983423,0.0747389626708279,0.133552617444248,0.0855688725336063,0.0188321513864328,0.156354312323344,0.0935131729207472,0.0746703128228276,0.143566370353672,0.085912127845258,0,0.0980578730417938,0.0686744178253397,0.187348358875585,0.105537609738754,0.183906760601881,0.127538386428512,0.10223311114496,0.220534039682801,0,0,0.0890088088246965,0.0981294897255215,0,0,0.144498202552876,0.235139282201333,0,0.175314179109246,0.171226402716545,0,0,0.215850022507928,0.0222002779151886
"1-12-09-15_12",0.232778958914088,0.153006331373056,0,0.17565510241742,0.114453390975412,0,0.196794929389728,0,0,0,0,0,0,0.104962013162816,0.130382633566902,0,0.137557217586959,0,0.205673346211434,0.221767655071723,0.31670504324385,0.127591567983248,0.0808806649630586,0.0503066389431458,0.0689396993607096,0.142865591549816,0.198369205198309,0.256327156775339,0.229967613424665,0,0.188028247679145,0.121952720247105,0,0.0553881787942071,0.00159744408945687,0,0.204267917816591,0.129893574056294,0.121598960025999,0.228228456504695,0.142085341625203,0.128576026408087,0,0,0,0,0.155920306277667,0.158823470693006,0.0935757238970369,0.172288904941859,0.101818724243645,0.0390332035170836,0.165489983088886,0.118800023238042,0.110001423469925,0.156497734429877,0.083265582141039,0.200005099569086,0.141939403428822,0.14302379372071,0.156769822077079,0.0880258948856081,0.162885622171611,0.204127106494631,0.14407019567587,0.236139046630799,0,0,0.147701051596308,0.1403721895914,0,0,0.170317166270506,0.226291291233989,0.0665071125193825,0.12365435981638,0.185649307018001,0,0,0.235060964614023,0.103884360524588,0.23369278106758,0.158010308051585,0,0.172574489042108,0.11659640535664,0,0.203423103446675,0,0,0,0,0,0,0.0978011853793362,0.128914652420845,0,0.135588819232649,0,0.170844052530267,0.228666282854898,0.35896331295164,0.123402410474291,0.0877171183643611,0.0786183884309573,0.0599747270194084,0.138650269037885,0.233131741032859,0.261830340325277,0.256707811514551,0,0.190307747433361,0.121814086814087,0,0.0596819328977329,0.00479287915097569,0,0.206265653636249,0.128461374628929,0.119326275604885,0.236947215386201,0.140376704827203,0.138580956312943,0,0,0,0,0.164057822763865,0.160447757282365,0.109876345683527,0.177137333218554,0.094261345096419,0.0364900552942147,0.15477161678287,0.115664197190755,0.0874717790014113,0.159029516537451,0.0703835384849524,0.123252162209317,0.183179022160841,0.160373668312112,0.244914219477425,0.0750496913903128,0.139274983854211,0.193711687310462,0.140604389015469,0.247040817411083,0,0,0.147377244650045,0.1410366781054,0,0,0.169157911699441,0.237131264704017,0.04830550034845,0.113232196323313,0.187397206839062,0,0,0.236073492014224,0.0776387930861546
"1-12-14-15_04",0.16366864730622,0.0937670538707414,0,0.180557088376314,0.0979905391141171,0,0.129466609890056,0,0,0,0,0,0,0.143420015760441,0.0920583397946157,0,0.123918942306504,0,0.139916416953127,0.121706525721594,0.17981245695882,0.122272491925343,0.0645767447685952,0.0373545716379853,0.0054871172030884,0.101169917389092,0.170230290251375,0.196049305101671,0.176406167698027,0,0.140381576758663,0.117624944973178,0,0.0445131222997938,0.0318025130657178,0,0.118366691023366,0.0897429358239403,0.0858735302866626,0.160423883521083,0.087302623684452,0.0809565202079141,0,0,0,0,0.0954646367772303,0.0943568268615301,0.0507781348082995,0.107459229352785,0.0362064986868565,0.0198877135451399,0.130496317823367,0.0824721923060395,0.0717238706796877,0.128059153936334,0.088939606566219,0.082666097981815,0.10043898652735,0.0830436658673401,0.124987381198187,0.0872570086867061,0.0851700832630691,0.0910349086031236,0.0646771870089052,0.156523541287779,0,0,0.094364657828698,0.11944593320591,0,0,0.120759339630883,0.217054380836041,0,0.104971078970839,0.131039819303093,0,0,0.204735237311662,0.0530852595443902,0.163887976270846,0.0895258197197408,0,0.176551791363782,0.0930159618523186,0,0.133083721833505,0,0,0,0,0,0,0.147340734684228,0.090255934173234,0,0.124266055757998,0,0.144259800998295,0.161835376311938,0.252790203641545,0.127653384302262,0.0627554563401891,0.0546562133255901,0.0775876153908994,0.0975628360158869,0.141955781130501,0.147044626603664,0.191657527964429,0,0.145421076119678,0.107512968200712,0,0.0468035245362517,0.0670614254119997,0,0.143055374875331,0.0878115649403683,0.0814037302051334,0.17652631080377,0.0931577226388296,0.0894405305470742,0,0,0,0,0.100367889062297,0.0929206583586929,0.0442282235769795,0.105669073879953,0.0452747824310141,0.0248036429454787,0.132193588479883,0.0745606858629028,0.0658304347641435,0.143840089551807,0.0565808460545303,0.118041847611528,0.133867990712747,0.0946755739225534,0.227072133002768,0.0753153948947929,0.0919666616784973,0.0910596713888944,0.0566504833604243,0.151937611032489,0,0,0.0851609525658766,0.104743879207215,0,0,0.123339768439685,0.228535911937069,0,0.102333139218154,0.13457578825573,0,0,0.208026175293736,0.0574194350495811
"1-12-14-15_19",0.216452365013043,0.136938067393067,0,0.200807771576645,0.158258066131922,0,0.175893911391209,4.16507891495263e-05,0,0,0,0,0,0.146937907570173,0.103600285665658,0,0.151380336758,0,0.159538396046568,0.184299329044403,0.199736936921294,0.128596348747916,0.0787346543562096,0.0696136232758384,0.00120569967117282,0.134957426753036,0.187599397338244,0.207383668615933,0.217150386734861,0,0.139514127114188,0.0725301858381422,0,0.039283216419797,0,0,0.125541914314669,0.100419390252921,0.121577400927707,0.191926219686604,0.139832003751428,0.0928803150610218,0,0,0,0,0.0989440733475966,0.104671197472959,0.0765570430148581,0.111106380006804,0.0922778031389069,0.0206414295678107,0.160433325043284,0.115984367259182,0.0669434974537219,0.128864629634038,0.0780752254980348,0.235263053666909,0.0730181913407569,0.057350426298889,0.0714275829209609,0.106027079872753,0.184112613171276,0.0935527543496954,0.0717342710393412,0.200179412800349,0,0.285067873303167,0.124387082711378,0.123954966191671,0,0,0.14924521407879,0.231277157027653,2.36194435259105e-05,0.123757701128749,0.148128024966164,0,0,0.188922061506609,0.0979757951322439,0.217020286135577,0.139761556547013,0,0.199024086097293,0.150470166386817,0,0.175440686574616,3.91354561403947e-05,0,0,0,0,0,0.139628495241546,0.101451252223947,0,0.149078625188753,0,0.16892698428061,0.197625970301578,0.348409220105257,0.120376335765215,0.087414298174689,0.0890625693201816,0.109014604666779,0.125683756036639,0.16420918897128,0.22501974854467,0.219885231145117,0,0.148161563065354,0.0716141694585289,0,0.0456980249862441,0,0,0.123631472093863,0.0980155196797232,0.10381928912045,0.211519601202893,0.155332495041924,0.0990005108182737,0,0,0,0,0.115958242030076,0.111601807372271,0.0515024894063335,0.122379821068335,0.0895003319873607,0.0278884462151394,0.158298346350417,0.114377235114659,0.0653928239386186,0.155280582976144,0.0751232476545449,0.208702819463392,0.138131531025455,0.124835437235942,0.20563457020301,0.102076468897194,0.185524493136885,0.113365482383418,0.075688319232139,0.188463139768379,0,0.269230769230769,0.113293496407878,0.126156760010856,0,0,0.153444068605465,0.244945508445938,0.00184034468573408,0.111873519881204,0.151365334281777,0,0,0.197642243735082,0.0813624760016034
"1-12-18-15_08",0.125190242919679,0.107886986987595,0,0.0960684198882611,0.0471775466445828,0,0.104393956336623,0,0,0,0,0,0,0.0945731004392301,0.0666825331842907,0,0.0685438570493116,0,0.143687567967533,0.134065775956196,0.169357363105497,0.082889895273139,0.0364429043976415,0.0741703404032749,0.0879213779985206,0.0754694940550057,0.121446651090343,0.128155117562145,0.103343361525799,0,0.127537518133611,0.0740159406404794,0,0.0397308953582633,0.0223136572242443,0,0.132768710153869,0.0665201843846209,0.0460717583883435,0.172345942256378,0.112301706480687,0.105040098768506,0,0,0,0,0.102214214153026,0.102862036101964,0.0803609776309075,0.112928091941662,0.0527997626436367,0.0344623831676071,0.112655755682258,0.059680627425703,0.0490800572640257,0.115831104208013,0,0,0.00368769578492407,0,0,0,0.0406781428539505,0.115155780597316,0.112802558712137,0.0895177792996543,0,0,0.0784043116025288,0.0665544482517633,0,0,0.100754180535048,0.192257605636118,0,0.0824242321656779,0.114933863042412,0,0,0.156156371880815,0.0711006244776352,0.129683736967251,0.106204703095923,0,0.116821009394023,0.0444271632867415,0,0.10580220961693,0,0,0,0,0,0,0.0952544987531546,0.0682637892766216,0,0.0735852756791513,0,0.117476924868731,0.146644688043174,0.191300867533479,0.0816700789507395,0.0435041344385596,0.0729689386567765,0.0600465129311553,0.067506689063889,0.116471360269992,0.116133347786658,0.123872906826964,0,0.132461665587867,0.0595397098951601,0,0.0419659064877474,0.0879828326180258,0,0.126771670509147,0.0678171574056962,0.0608560692697272,0.167643256318292,0.102993721368665,0.108704848434034,0,0,0,0,0.0982264851512976,0.0985865482225857,0.120474607931593,0.110188947436555,0.060614656504505,0.0363159115826058,0.113114731697541,0.0609068473627459,0.0451257237703904,0.122780557369528,0,0,0.0228162868333202,0,0,0,0.0356134020426212,0.111390987965295,0.148304307974335,0.122099956695055,0,0,0.0791293352001372,0.0542678962527649,0,0,0.101098468272072,0.189857885371418,0,0.121793896885819,0.118495327222924,0,0,0.168596059351825,0.0537508105451407
"1-5-12-15_02",0.0989939423800924,0.066688640664103,0,0.110999107506158,0.0845296611271488,0,0.0854596985035277,0,0,0,0,0,0,0.0598895344819337,0.0713528802910949,0,0.087192528790063,0,0.0541343987806381,0.0604847483505501,0.0551712932522865,0.0839619575908213,0.0484254900360346,0.0183324007407156,0,0.0702635223284427,0.0983951089033244,0.142246875665219,0.0692212064895273,0,0.0754850121395953,0.0343387748423557,0,0.0206702611870545,0,0,0.0704208512673362,0.0701640380347458,0.0765500536869179,0.147795734196043,0.0825825841931328,0.0718532574320051,0,0,0,0,0.0503254521387702,0.0522822965697382,0.0358449737585789,0.0585647737505448,0.0409618323353054,0.016871524688995,0.0745300317892282,0.0518031438178505,0.0429971193977314,0.0794738490807878,0.0461963906968404,0,0.0420147485557597,0.00940791795204314,0.102461821617789,0.0320382101846158,0.0583993388478107,0.0447291723948309,0.0344381010766696,0.0868452193687788,0,0,0.083704301874618,0.0573390195569245,0,0,0.0779816984749882,0.155859896062821,0,0.0770809497410977,0.0948709591921364,0,0,0.129067637671781,0.044963559513663,0.104771687915082,0.0724252845983631,0,0.106136917554117,0.0713309070149147,0,0.0864516924790042,0,0,0,0,0,0,0.0624313900735401,0.0667496659557841,0,0.0866567720407562,0,0.0512559534679044,0.10180989138411,0.0563720731245783,0.0870050564724755,0.0483090145705096,0.0213404043445034,0.00453393785838112,0.0554625073225388,0.0959772936310441,0.089847878946205,0.023000950815888,0,0.0883207069431015,0.0406814405323742,0,0.0232004486088607,0.00189345038299337,0,0.0731374650852745,0.0651621967617104,0.0727390523308891,0.139465909340243,0.0890381829802096,0.0862787163955388,0,0,0,0,0.0522183828415651,0.0515942003031029,0.041693810135996,0.0575814525059193,0.0366912582072551,0.0220140212034819,0.0759400061501452,0.0483249456176457,0.0356442734408634,0.0767682278368272,0.0447167228101941,0,0.0545506557337284,0.00896774230806991,0.157142557835437,0.0225336283141039,0.056481130029281,0.0529370820593134,0.0807533051290655,0.0896706199839516,0,0,0.0695396303799091,0.0533133462597559,0,0,0.076620147881047,0.200845864709935,0,0.0844701986754967,0.0941882397774785,0,0,0.132421449386437,0.029018590605077
"1-5-12-15_05",0.128922168129256,0.148599164293613,0,0.133994483539685,0.0690586853261147,0,0.121650805855627,0,0,0,0,0,0,0.144227324437628,0.112286928194997,0,0.115116987148191,0,0.100553523244777,0.125565993882388,0.133700803112685,0.118786703548957,0.0916254625360361,0.0506348605488223,0.00104745555587884,0.0976948333406217,0.120037435403583,0.265483665483665,0.158682146405112,0,0.118886106638002,0.0981967744363096,0,0.0363877925111239,0,0,0.125435862894556,0.112057512508038,0.0812535498312786,0.211736392244106,0.0936761019706869,0.0805337436622954,0,0,0,0,0.0834952613433126,0.081117051092104,0.0299397551644471,0.0886768451997502,0.0578064724148917,0.05949505063084,0.113809697821046,0.0845404222454733,0.0520048337826272,0.0909819539281744,0.0245843595741299,0.0778205709107386,0.0948931277892473,0.0564543700958564,0.154562847738918,0.0544550335011861,0.0990036695681857,0.0697933111712937,0.0521816512198124,0.183999612190156,0,0,0.0928448805579663,0.0641517098540459,0,0,0.101720970607762,0.198019001436088,0.0291891481115586,0.0887731203459044,0.151412891825536,0,0,0.205023312672109,0.0380183571440357,0.129915049758672,0.159909528838169,0,0.132590557050016,0.0692559469489566,0,0.125157721577601,0,0,0,0,0,0,0.14898642426081,0.104660385491224,0,0.112858059641371,0,0.110074781841921,0.124756084909622,0.140542389749331,0.114540089830441,0.0786506881859747,0.0622367113172717,0.00504371217215871,0.0908053080936951,0.124097472924188,0.265061485253146,0.155935768656677,0,0.121235529879216,0.117403040963971,0,0.0413001892070282,0,0,0.128592287629665,0.103946821570787,0.0827387931449864,0.214928924917615,0.0943296879524244,0.0826746505561483,0,0,0,0,0.0855796262877737,0.0816081484954419,0.0357407824485632,0.0911069619844416,0.051836967611406,0.0544786733731874,0.112882231404959,0.0712493887186964,0.0334142021182862,0.0840143168860202,0.0326755498428505,0.078726778432261,0.10409452195227,0.0590709814072635,0.197612290969308,0.0400619285216098,0.10624096882956,0.0981354468736763,0.0702910013320092,0.175058472874796,0,0,0.0806402714115566,0.0624463058789758,0,0,0.0999802049197256,0.210607558371213,0.0236097543161297,0.0722845438186761,0.153616850804482,0,0,0.211094649544173,0.0295279182028963
