"","Region","Brain.ID","Strain","Sex","Age.Harvested","Genotype","Stain","Load.Percentage_NL","Load.Percentage_RG","Load.Difference","Region_Parent"
"36","Ammon.s.horn","1-5-22-15_10","BXD62",0,6,5,"AB1.42",0.901291910301576,0.777379437409951,0.123912472891625,"Hippocampal formation"
"37","Ammon.s.horn","1-6-4-15_04","BXD32",0,6,5,"AB1.42",0.811150266730451,0.874599286833109,-0.0634490201026581,"Hippocampal formation"
"38","Ammon.s.horn","1-9-02-15_04","BXD51",0,6,5,"AB1.42",0.944529086896945,0.77896723812479,0.165561848772155,"Hippocampal formation"
"39","Ammon.s.horn","1-9-23-15_06","DBA.2J",0,6,5,"AB1.42",1.0608815875193,0.981302462534082,0.079579124985218,"Hippocampal formation"
"40","Ammon.s.horn","1-03-28-16_18","BXD65",0,14,5,"Thionine",20.6955717201452,21.1694819350514,-0.473910214906201,"Hippocampal formation"
"41","Ammon.s.horn","1-04-26-15_06","BXD61",0,6,5,"Thionine",21.6026380701055,21.6260029150749,-0.0233648449693966,"Hippocampal formation"
"42","Ammon.s.horn","1-04-26-15_17","BXD66",0,6,0,"Thionine",20.2172865557652,19.9726146712921,0.2446718844731,"Hippocampal formation"
"43","Ammon.s.horn","1-06-24-15_06","BXD44",0,6,5,"Thionine",23.3292851226674,23.0288672847231,0.300417837944298,"Hippocampal formation"
"44","Ammon.s.horn","1-06-24-15_08","BXD87",0,6,5,"Thionine",23.8951899549325,23.2161897529976,0.679000201934901,"Hippocampal formation"
"45","Ammon.s.horn","1-06-24-15_13","BXD75",0,6,5,"Thionine",22.6990931647125,21.9017377581672,0.7973554065453,"Hippocampal formation"
"46","Ammon.s.horn","1-09-23-15_04","BXD68",0,6,0,"Thionine",20.8463128359176,19.3039722090052,1.5423406269124,"Hippocampal formation"
"47","Ammon.s.horn","1-1-11-16_12","BXD68",0,14,5,"Thionine",24.1835553340882,23.9616638288082,0.221891505280002,"Hippocampal formation"
"48","Ammon.s.horn","1-1-18-16_16","BXD87",0,14,5,"Thionine",22.5570864266303,22.3337631691106,0.223323257519702,"Hippocampal formation"
"49","Ammon.s.horn","1-1-20-16_17","BXD75",0,14,5,"Thionine",21.6727872964803,22.3968056143245,-0.724018317844198,"Hippocampal formation"
"50","Ammon.s.horn","1-10-14-15_07","DBA.2J",0,14,5,"Thionine",22.9966415577186,22.5794787568951,0.417162800823501,"Hippocampal formation"
"51","Ammon.s.horn","1-10-14-15_14","C57BL.6J",0,14,5,"Thionine",24.4898952627777,23.8492439118108,0.640651350966902,"Hippocampal formation"
"52","Ammon.s.horn","1-11-09-15_16","BXD77",0,14,5,"Thionine",22.0432982310986,21.614376146997,0.4289220841016,"Hippocampal formation"
"53","Ammon.s.horn","1-11-09-15_18","BXD69",0,14,5,"Thionine",21.9278245210245,22.2058815889442,-0.278057067919701,"Hippocampal formation"
"54","Ammon.s.horn","1-11-09-15_20","C57BL.6J",0,6,5,"Thionine",23.157288579218,22.9499988352183,0.207289743999702,"Hippocampal formation"
"55","Ammon.s.horn","1-11-15-15_05","BXD60",0,14,5,"Thionine",21.9817915828486,21.8198421102348,0.161949472613802,"Hippocampal formation"
"56","Ammon.s.horn","1-11-15-15_13","DBA.2J",0,14,5,"Thionine",22.9932271630909,22.7062379996767,0.286989163414198,"Hippocampal formation"
"57","Ammon.s.horn","1-11-16-15_09","BXD100",0,14,5,"Thionine",23.6116042605702,23.7484794060383,-0.1368751454681,"Hippocampal formation"
"58","Ammon.s.horn","1-11-2014_01","DBA.2J",0,6,5,"Thionine",22.1059207052785,21.6241414188689,0.481779286409601,"Hippocampal formation"
"59","Ammon.s.horn","1-11-2015_02","DBA.2J",0,6,5,"Thionine",24.5834469873604,23.5876083834181,0.9958386039423,"Hippocampal formation"
